filename,iou,dice,hausdorff_distance,ones_dice_diff,zeros_dice_diff
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0002_2CH_ES_gt.png,87.1788,93.1503,1897.3666,75.5215,93.1503
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0002_4CH_ES_gt.png,83.2869,90.8815,3417.6013,72.3148,90.8815
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0001_4CH_ED_gt.png,86.9767,93.0348,2051.8284,69.7930,93.0348
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0002_4CH_ED_gt.png,89.4873,94.4520,2061.5527,70.7906,94.4520
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0001_4CH_ES_gt.png,89.5711,94.4987,1615.5494,79.8761,94.4987
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0003_2CH_ES_gt.png,89.9072,94.6854,1486.6069,76.4055,94.6854
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0003_2CH_ED_gt.png,91.1077,95.3470,1838.4777,71.4415,95.3470
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0001_2CH_ES_gt.png,86.2257,92.6035,1341.6407,79.0713,92.6035
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0001_2CH_ED_gt.png,90.9239,95.2462,1204.1594,77.2370,95.2462
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0002_2CH_ED_gt.png,88.5674,93.9371,2184.0330,71.3540,93.9371
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0003_4CH_ED_gt.png,92.7207,96.2229,1000.0000,77.8920,96.2229
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0004_2CH_ED_gt.png,91.7657,95.7061,2640.0757,74.5005,95.7061
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0003_4CH_ES_gt.png,87.7541,93.4777,1392.8389,79.5175,93.4777
/home/manish/sedoc/biomedclip/lightning-hydra-starter/asmus_out_masks/clip_seg/pt_on_sdm_camus_ft_on_camus_reduce_lr/p6/mask_1/patient0005_2CH_ED_gt.png,85.8758,92.4012,1581.1388,73.1584,92.4012
